id,Year,sdg10_adjgini,sdg10_elder,sdg10_palma,sdg11_pipedwat,sdg11_pm25,sdg11_rentover,sdg11_slums,sdg11_transport,sdg13_co2gcp,sdg13_ecr,sdg14_cleanwat,sdg14_cpma,sdg14_trawl,sdg15_cpfa,sdg15_cpta,sdg15_redlist,sdg16_cpi,sdg16_detain,sdg16_homicides,sdg16_justice,sdg16_prison,sdg16_prs,sdg16_rsf,sdg17_govex,sdg17_govrev,sdg17_oda,sdg17_statperf,sdg1_320pov,sdg1_oecdpov,sdg1_wpc,sdg2_crlyld,sdg2_obesity,sdg2_stuntihme,sdg2_trophic,sdg2_undernsh,sdg2_wasteihme,sdg3_births ,sdg3_fertility ,sdg3_hiv,sdg3_incomeg,sdg3_lifee,sdg3_matmort,sdg3_ncds,sdg3_neonat,sdg3_smoke,sdg3_swb,sdg3_tb,sdg3_traffic,sdg3_u5mort,sdg3_uhc,sdg3_vac,sdg4_earlyedu,sdg4_pisa,sdg4_primary,sdg4_resil,sdg4_science,sdg4_second,sdg4_socioec,sdg4_tertiary,sdg5_edat,sdg5_fplmodel,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg6_safesan,sdg6_safewat,sdg6_sanita,sdg6_water,sdg7_cleanfuel,sdg7_co2twh,sdg7_elecac,sdg7_ren,sdg8_accounts,sdg8_empop,sdg8_rights,sdg8_unemp,sdg8_yneet,sdg9_articles,sdg9_intuse,sdg9_lpi,sdg9_mobuse,sdg9_netacc,sdg9_patents,sdg9_rdex,sdg9_rdres,sdg9_womensci,score
AFG,2016,,,,43.332,56.506,,71.3,54.0,0.191,,,,,0.0,5.74,0.838,15.0,,6.551,0.404,,,,4.785,12.678,,37.223,,,,1.982,5.5,,2.188,27.5,,,75.325,0.04,,,673.0,29.8,39.1,,4.2,189.0,14.81,67.6,,64.0,,,,,,50.694,,,27.586000000000002,42.1,26.285,27.711000000000002,,,,42.054,64.286,32.44,,97.7,,,,0.339,11.31,,0.002,11.200000000000001,1.835,13.197000000000001,,,,,,36.504844665527344
AFG,2017,,,,45.101,57.273,,,48.0,0.189,,,,,0.0,5.74,0.838,15.0,,6.678,,,,39.46,4.659,13.039,,42.578,,,,2.025,,50.761,2.19,28.900000000000002,7.86,,68.95700000000001,0.04,,,638.0,,38.0,,2.7,189.0,15.13,64.9,37.0,64.0,,,,,,53.075,,,30.508,43.0,28.057000000000002,27.711000000000002,,,,43.418,67.065,,,97.7,,14.893,,,11.18,,0.003,13.5,,15.705,,,,,,46.811607360839844
AFG,2018,,,,,56.112,,70.7,45.0,0.281,,,,,0.0,5.74,0.837,16.0,,6.656000000000001,0.463,,,37.28,4.545,,,49.845,,,,2.165,,,,29.900000000000002,,,65.141,0.04,,,,,36.9,,2.7,189.0,14.25,62.5,,64.0,,,,,,55.346000000000004,,,31.667,43.7,28.625,,,,,,,,,98.71300000000001,,,,0.387,11.06,,0.003,13.5,1.807,18.824,,,,,,46.238884490124335
AFG,2019,,,,,54.95,,,36.0,0.28200000000000003,,,,,0.0,5.74,0.837,16.0,,,0.468,,,36.550000000000004,,,,49.756,,,,,,50.449,,,7.7490000000000006,,,0.04,,63.21,,,35.9,,2.4,189.0,15.860000000000001,60.300000000000004,,64.0,,,,,,,,,31.667,44.6,29.2,27.869,,,,,,,,,,,,0.419,10.98,,,13.5,,19.215,,,,,,49.649155966526976
AFG,2020,,,,,,,,,,,,,,,,0.837,19.0,,,0.487,,,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,,27.016000000000002,,,,,,,,,,,,0.41400000000000003,11.73,,,,,,,,,,,54.22420643621086
AGO,2016,,,,56.449,31.934,,48.800000000000004,,1.183,,56.29,66.58,37.607,33.333,28.054000000000002,0.932,18.0,,,,,,,4.619,15.721,,43.735,69.52,,46.6,0.78,8.2,,2.1270000000000002,19.5,,49.6,153.901,0.9400000000000001,,,246.0,16.5,29.8,,,362.0,24.75,84.2,,45.0,,,,,,,,,63.492000000000004,31.2,96.183,36.818,,,,48.628,55.084,48.050000000000004,2.103,40.668,,,,,7.2,,0.001,13.0,2.134,13.956,,,0.032,,,44.00824737548828
AGO,2017,,,,57.966,32.559,,,,1.2570000000000001,,56.04,66.58,,33.333,28.054000000000002,0.932,19.0,,,,,,40.42,4.713,16.361,,46.69,70.98,,48.300000000000004,0.755,,38.86,2.1310000000000002,19.400000000000002,7.626,,150.526,0.9400000000000001,,,241.0,,29.0,,,359.0,25.47,80.60000000000001,40.0,42.0,,,,,,,,,62.5,31.900000000000002,96.282,30.455000000000002,,,,49.877,55.843,,1.768,41.963,,,,,7.1000000000000005,,0.002,14.339,,14.603,,,,,,50.18424606323242
AGO,2018,,,,,32.441,,48.6,,1.223,,55.64,66.58,,33.333,28.054000000000002,0.932,19.0,48.0,,,,2.981,38.35,4.49,,,55.232,72.44,,50.01,0.753,,,,18.6,,,147.958,0.9,,,,,28.3,,,355.0,25.990000000000002,77.7,,50.0,,,,,,,,,62.5,32.6,96.391,30.455000000000002,,,,,,,1.609,43.259,,,,,7.0,,0.001,14.339,1.857,18.891000000000002,,,,,,49.55654067196218
AGO,2019,,,,,32.322,,,,1.195,,55.22,66.58,,33.333,28.054000000000002,0.932,26.0,,,0.531,,3.247,34.96,,,,54.946,73.35000000000001,,51.06,,,38.124,,,7.554,,,0.84,,63.06,,,27.6,,,351.0,26.13,74.7,,51.0,,,,,,,,,62.5,33.5,96.562,30.0,,,,,,,,,,,,0.46,6.93,,,14.339,,21.179000000000002,,,,,,51.32035798527132
AGO,2020,,,,,,,,,,,55.34,,,,,0.932,27.0,,,0.47600000000000003,,3.368,33.92,,,,,75.88,,54.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.300000000000004,,30.0,,,,,,,,,,,,0.406,7.7,,,,,,,,,,,52.58927717086834
ALB,2016,,,,92.357,18.068,,,46.0,1.558,,57.58,70.69800000000001,79.76,92.675,55.944,0.847,39.0,,2.737,0.534,,,,6.766,24.279,,63.905,11.05,,0.17,4.716,21.7,,2.3770000000000002,4.5,,,19.86,0.03,,,16.0,17.0,6.3,,4.5,17.0,13.82,9.4,,96.0,,,97.655,,,,,,96.078,8.4,73.885,22.857,,,,97.705,91.02,77.42,0.47700000000000004,100.0,,,,0.449,15.42,,0.064,66.363,1.981,58.423,,,,,,60.773475646972656
ALB,2017,,,,92.357,18.262,,,51.0,1.874,,57.69,70.69800000000001,,92.675,55.944,0.842,38.0,,2.011,,,3.7070000000000003,29.92,6.2860000000000005,25.733,,67.658,10.370000000000001,,0.33,4.813,,25.346,2.383,3.9,3.38,,19.642,0.03,,,15.0,,6.7,,4.6000000000000005,20.0,11.44,9.4,59.0,96.0,,,97.778,,,88.164,,,96.117,7.7,71.624,27.857,,,,97.718,91.039,,0.969,100.0,,40.015,,,13.620000000000001,,0.052000000000000005,71.84700000000001,,70.418,,,,,,68.90255737304688
ALB,2018,,,,,17.902,,,57.0,1.874,,57.26,70.69800000000001,,92.675,57.176,0.84,36.0,44.333,2.289,0.487,,3.777,29.490000000000002,6.453,25.493000000000002,,77.59700000000001,8.99,,0.2,4.84,,,,3.6,,99.8,19.572,0.03,,,,,7.2,,5.0,18.0,10.99,9.5,,94.0,,,97.44200000000001,,,96.33500000000001,,,97.059,7.9,74.492,27.857,,,,,,,0.508,100.0,,,,0.466,12.3,,0.063,71.84700000000001,2.294,62.787,,,,,,68.90786724278006
ALB,2019,,,,,17.541,,,51.0,1.937,,56.85,70.69800000000001,,92.675,57.176,0.838,35.0,,,0.515,,3.305,29.84,,25.343,,75.383,8.19,,0.14,,,24.793,,,3.353,,,0.03,,78.0,,,7.5,,5.0,16.0,11.700000000000001,9.700000000000001,,95.0,,,97.893,,,92.824,,,91.509,8.6,77.139,29.508,,,,,,,,,,,,0.486,11.47,,,69.643,,62.104,,,,,,70.2726472281819
ALB,2020,,,,,,,,46.0,,,56.83,,,,,0.835,36.0,,,0.532,,3.285,30.25,,,,,10.51,,0.35000000000000003,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,9.3,,29.508,,,,,,,,,,,,0.49,11.700000000000001,,,,,,,,,,,70.81703267973857
ARE,2016,,,,,40.059,,,81.0,24.419,,68.31,,0.0,,,0.864,66.0,,0.705,0.522,,,,,,,51.04,0.26,,0.22,31.538,31.7,,2.279,2.8000000000000003,,,8.591,,,,3.0,16.8,4.2,,6.8,0.79,17.93,7.8,,99.0,,,99.402,,,,,,98.34700000000001,57.4,54.72,22.5,,,,98.58200000000001,97.407,98.51,1.576,100.0,,,,0.515,1.6400000000000001,,0.265,90.60000000000001,4.069,163.284,,,0.964,,,63.58126449584961
ARE,2017,,,,,40.814,,,78.0,19.671,,68.33,,,,,0.861,71.0,,0.464,,,5.422,39.39,,,,58.677,0.26,,0.22,30.235,,14.769,2.2600000000000002,3.0,8.769,,6.546,,,,3.0,,4.1,,7.0,0.8,13.26,7.7,76.0,97.0,,,98.743,,,,,,94.355,57.9,56.206,22.5,,,,98.586,98.046,,1.585,100.0,,88.21000000000001,,,2.46,,0.306,94.82000000000001,,241.197,,,,,,66.0067138671875
ARE,2018,,,,,41.241,,,77.0,19.577,,68.3,,,,,0.859,70.0,,,0.47800000000000004,,5.466,40.86,,,,59.257,0.26,,0.22,27.582,,,,3.1,,,5.8870000000000005,,,,,,4.1,,6.6000000000000005,0.98,11.27,7.6000000000000005,,99.0,,,,,,,,,94.355,58.5,56.085,22.5,,,,,,,1.5050000000000001,100.0,,,,0.462,2.23,,0.327,98.45,4.021,250.041,,,1.303,,,69.2158625699712
ARE,2019,,,,,41.669000000000004,,,81.0,19.516000000000002,,68.31,,,,,0.857,71.0,,,0.5650000000000001,,5.6610000000000005,43.63,,,0.55,59.669000000000004,0.26,,0.22,,,14.362,,,8.695,,,,,76.08,,,4.0,,6.7,1.0,8.91,7.5,,99.0,,,99.782,,,,,,94.355,59.2,55.716,50.0,,,,,,,,,,,,0.458,2.2800000000000002,,,99.15,,239.891,,,,,,69.7089190637932
ARE,2020,,,,,,,,80.0,,,68.33,,,,,0.854,71.0,,,0.593,,5.622,42.69,,,,,0.28,,0.23,,,,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,59.5,,50.0,,,,,,,,,,,,0.453,5.0,,,,,,,,,,,70.29539873410901
ARG,2016,,,,97.979,13.294,,14.700000000000001,55.0,4.388,,80.24,40.526,51.625,43.042,31.052,0.85,36.0,,6.033,0.677,,,,11.137,21.257,,61.458,2.5,,0.62,5.204,28.3,,2.426,2.9,,,62.939,0.14,,,40.0,15.8,6.4,,6.4,27.0,14.06,10.9,,90.0,,,99.548,,,89.205,,,101.923,82.60000000000001,66.822,35.798,,,,94.259,99.078,98.4,1.28,99.959,,,,0.663,7.97,,0.198,70.96900000000001,2.856,,,,0.558,,,66.82061004638672
ARG,2017,,,,97.979,13.468,,,58.0,4.266,,80.11,40.526,,43.19,31.083000000000002,0.85,39.0,,5.21,,,3.563,25.07,12.071,19.337,,65.086,2.37,,0.59,5.405,,7.938,2.4050000000000002,3.4,2.191,,62.782000000000004,0.14,,,39.0,,6.2,,6.0,27.0,13.0,10.3,76.0,86.0,,,99.56700000000001,,,89.81700000000001,,,101.905,82.9,67.881,38.132,,,,,,,1.2610000000000001,100.0,,48.708,,,8.35,,0.198,74.295,,80.652,,,0.542,,,72.45227813720703
ARG,2018,,,,,13.040000000000001,,14.700000000000001,58.0,4.171,,79.99,40.526,,43.725,31.799,0.849,40.0,46.300000000000004,5.324,0.6940000000000001,,3.6910000000000003,26.05,11.372,17.948,,65.273,2.61,,0.64,4.671,,,,3.8000000000000003,,,62.565000000000005,0.13,,,,,6.2,,5.8,27.0,13.57,9.8,,86.0,,,99.59700000000001,,,,,,101.905,83.2,69.798,38.911,,,,,,,1.23,100.0,,,,0.642,9.22,,0.199,74.295,2.774,,,,,,,70.28162947939757
ARG,2019,,,,,12.612,,,64.0,3.996,,82.2,40.526,,43.725,31.799,0.849,45.0,,,0.735,,3.751,28.3,,18.833000000000002,,64.596,2.82,,0.6900000000000001,,,7.743,,,2.195,,,0.13,,76.575,,,6.1000000000000005,,6.1000000000000005,29.0,14.06,9.3,,86.0,,,,,,,,,103.738,83.4,70.609,40.157000000000004,,,,,,,,,,,,0.646,9.84,,,74.295,,,,,,,,72.35040744534194
ARG,2020,,,,,,,,52.0,,,82.18,,,,,0.849,42.0,,,0.73,,3.39,28.78,,,,,3.87,,0.9500000000000001,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,83.60000000000001,,40.856,,,,,,,,,,,,0.653,11.67,,,,,,,,,,,73.16805564892624
ARM,2016,,,,99.446,32.728,,9.3,54.0,1.7570000000000001,,,,,26.799,21.551000000000002,0.845,33.0,,2.963,,,,,4.3950000000000005,22.835,,79.072,9.21,,1.2,3.076,20.2,,2.279,2.8000000000000003,,99.8,22.16,0.06,,,26.0,22.3,7.4,,4.3,44.0,15.700000000000001,13.700000000000001,,94.0,,,93.97800000000001,,,87.517,,,100.0,40.4,71.075,10.687,,,,93.407,99.899,96.9,0.707,100.0,,,,,17.62,,0.181,64.346,2.217,54.899,,,0.233,,,65.40739440917969
ARM,2017,,,,99.583,33.436,,,53.0,1.863,,,,,26.799,21.551000000000002,0.845,35.0,,2.3770000000000002,,,4.399,30.38,4.08,22.525000000000002,,81.376,8.01,,0.85,1.975,,12.315,2.2800000000000002,2.7,2.942,,21.490000000000002,0.06,,,26.0,,7.1000000000000005,,4.3,36.0,16.39,13.0,69.0,94.0,,,93.84,,,89.039,,,100.0,41.1,71.392,18.095,,,,93.642,99.913,,0.7020000000000001,100.0,,47.759,,,17.71,,0.17400000000000002,64.745,,66.475,,,0.228,,,71.71923065185547
